x,y,id,opacity,fill,fill-opacity,fill-rule,stroke,stroke-width
15.53357086722523,26.144539845125493,1,0.5,#ff35cc,1,nonzero,none,0.352777
17.059175699867417,25.560286849102198,2,0.5,#ff35cc,1,nonzero,none,0.352778
16.538064322745704,24.64962262363032,3,0.5,#ff35cc,1,nonzero,none,0.352778
18.224797655590947,25.053555014435588,4,0.5,#ff35cc,1,nonzero,none,0.352777
18.306541142341693,24.049809549877267,5,0.5,#ff35cc,1,nonzero,none,0.352779
17.432520597091504,24.049809549877267,6,0.5,#ff35cc,1,nonzero,none,0.352779
22.75235627997273,34.65754487678761,7,0.5,#ffcc00,1,nonzero,none,0.352778
23.52184027681492,29.026373551558052,8,0.5,#ffcc00,1,nonzero,none,0.352777
20.848690744246333,21.97017395353859,9,0.5,#ffcc00,1,nonzero,none,0.352777
21.28151080548399,27.263622606466058,10,0.5,#02facc,1,nonzero,none,0.352778
22.733625952367433,26.922587531973065,11,0.5,#02facc,1,nonzero,none,0.352779
21.784150802250103,29.795661166495833,12,0.5,#02facc,1,nonzero,none,0.352779
22.733625952367433,28.605090743326457,13,0.5,#02facc,1,nonzero,none,0.352779
20.03571786866481,26.042397406657372,14,0.5,#02facc,1,nonzero,none,0.352779
20.44036971652462,32.03402379079493,15,0.5,#ffcc00,1,nonzero,none,0.352778
18.51665972441915,31.812393971477306,16,0.5,#ccf800,1,nonzero,none,0.352778
18.10991006161575,29.026373551558052,17,0.5,#ccf800,1,nonzero,none,0.352779
24.995963088080664,35.597445842258395,18,0.5,#ffcc00,1,nonzero,none,0.352778
26.38519968275903,34.020008743373026,19,0.5,#ffcc00,1,nonzero,none,0.352778
28.004339227907444,41.573884451722364,20,0.5,#ffcc00,1,nonzero,none,0.352777
27.507593418098097,40.00210854930869,21,0.5,#ffcc00,1,nonzero,none,0.352777
31.185237546923943,36.93004440631016,22,0.5,#ffcc00,1,nonzero,none,0.352778
26.423319683830073,38.94206319759516,23,0.5,#ffcc00,1,nonzero,none,0.352778
24.371102270931083,40.96199890386863,24,0.5,#ffcc00,1,nonzero,none,0.352779
16.943895692438943,37.76356524852646,25,0.5,#ff6300,1,nonzero,none,0.352778
19.734157255709192,36.71652860359896,26,0.5,#ff6300,1,nonzero,none,0.352778
21.36351380985282,38.049510420796764,27,0.5,#ff6300,1,nonzero,none,0.352778
23.20508676101749,39.04966973091702,28,0.5,#ff6300,1,nonzero,none,0.352778
22.163257560964134,37.76356524852646,29,0.5,#ff6300,1,nonzero,none,0.352777
21.36351380985282,36.93004440631016,30,0.5,#ff6300,1,nonzero,none,0.352778
18.647526188879496,34.20089875326521,31,0.5,#ff6300,1,nonzero,none,0.352778
21.213782410846804,33.2526976196599,32,0.5,#ff6300,1,nonzero,none,0.352777
31.631679716453483,38.882648009867026,33,0.5,#33f800,1,nonzero,none,0.352778
31.942146061472478,45.03544876705479,34,0.5,#33f800,1,nonzero,none,0.352778
31.43950492396958,44.08914199899996,35,0.5,#33f800,1,nonzero,none,0.352778
31.7126355244557,42.89781601962838,36,0.5,#33f800,1,nonzero,none,0.352778
34.726121024332684,41.9449008723266,37,0.5,#33f800,1,nonzero,none,0.352777
29.169961183630974,45.03544876705479,38,0.5,#33f800,1,nonzero,none,0.352777
29.473744522207888,39.04966973091702,39,0.5,#33f800,1,nonzero,none,0.352778
29.027304063783532,38.049510420796764,40,0.5,#33f800,1,nonzero,none,0.352778
25.393674122985487,37.09735630474216,41,0.5,#33f800,1,nonzero,none,0.352778
25.678594808490303,39.04966973091702,42,0.5,#33f800,1,nonzero,none,0.352778
25.393674122985487,39.70710765270165,43,0.5,#33f800,1,nonzero,none,0.352778
30.948655582590554,34.11535665106612,44,0.5,#33f800,1,nonzero,none,0.352778
27.588943350658774,32.006298163200455,45,0.5,#33f800,1,nonzero,none,0.352779
24.995963088080664,33.082002143452726,46,0.5,#33f800,1,nonzero,none,0.352778
